id_hallazgo;linea;afirmacion;tipo_evidencia;fuente;fecha_fuente;alcance;confianza;capacidad_vinculada;estado
H-000;—;PLANTILLA — tipo: normativa|contractual|declarada|observada|inferida;—;—;—;—;—;CAP-###;abierto
H-001;L2;La plataforma trata datos personales de trabajadores y queda bajo Ley 21.719, exigible desde el 01-12-2026; multa hasta 20.000 UTM;normativa;Ley 21.719 (Diario Oficial 13-12-2024) + análisis profesionales;2024-12-13 / 2026;Chile, toda organización;alta;CAP-privacidad;abierto
H-001b;L2;A la fecha la vigencia no ha sido postergada, aunque el Gobierno evalúa el calendario;normativa;Análisis sectorial, ago-sep 2026;2026-08;Chile;media;CAP-privacidad;vigilar
H-002;L2;El transporte de personal de empresas es TTEPRIV: exige inscripción en el Registro Nacional por servicio y por vehiculo (DS 212/1992);normativa;DS 212/1992 MTT; Chileatiende TTEPRIV;1992 / vigente;Chile;alta;CAP-evidencia-vehiculo;abierto
H-003;L2;Para viajes continuos de personal de una empresa determinada debe acreditarse la relación contractual ante Subtrans;normativa;Instructivo Transporte Privado 2022, Subtrans;2022;Chile;alta;CAP-contrato-habilitante;abierto
H-004;L2;La empresa principal es solidariamente responsable de obligaciones laborales y previsionales del contratista (art. 183-B CT);normativa;Ley 20.123 / Código del Trabajo;2006 / vigente;Chile;alta;CAP-acreditacion;abierto
H-005;L2;La empresa principal debe mantener nómina actualizada de contratistas y tiene derecho a ser informada de su cumplimiento (art. 183-C);normativa;Dirección del Trabajo;vigente;Chile;alta;CAP-acreditacion;abierto
H-006;L2;La empresa principal debe vigilar higiene y seguridad de sus contratistas e implementar un SGSST cuando en conjunto superan 50 trabajadores (art. 66 bis Ley 16.744);normativa;SUSESO;vigente;Chile;alta;CAP-acreditacion;abierto
H-007;L2;Se excluyen del régimen de subcontratación los servicios discontinuos o esporádicos; la calificación del transporte de personal requiere confirmación;normativa;Ley 20.123 art. 183-A;vigente;Chile;media;—;vacio V-06
H-008;L4;AllRide (Chile/Perú/México) ofrece reserva de asientos, lista de espera, refuerzos por sobredemanda, app pasajero, GPS, integración con acreditación y reportes de cumplimiento del proveedor; declara 100+ transportistas y 200+ clientes corporativos;declarada;allrideapp.com (material del proveedor);2026;Chile, Perú, México;media;CAP-reserva (commodity);abierto
H-009;L4;Codelco opera desde 2024 su plataforma de acreditación de contratistas (Sucal) integrada con Registro Civil, AChS, Previred, Equifax; proyecta pasaporte minero abierto al sector en 2026;declarada;codelco.com (prensa corporativa);2024-2026;Chile minería;media;CAP-acreditacion (no construir);abierto
H-010;L2;La acreditación laboral/previsional del contratista se realiza mediante certificados de la Inspección del Trabajo u otros medios idóneos reglamentados; existe listado de entidades verificadoras competentes (DS 319/2006);normativa;Dirección del Trabajo;vigente;Chile;alta;CAP-acreditacion (integrar);abierto
H-011;L3;Patrón: control de caducidades documentales con notificación y bloqueo en punto de acceso vía QR (plataformas CAE europeas);declarada;Interempresas / Dokify;2025;España (patrón transferible);media;CAP-habilitacion-vehiculo;abierto
H-012;L5;Para un piloto de 300 personas y 4 vans, construir la capa completa de transporte es desproporcionado frente a configurar una solución existente y construir solo la capa contractual;inferida;Análisis del Supervisor sobre H-008/H-009 + criterio de proporcionalidad del manual;2026-09-08;Caso Enjoy;media;decisión G2;pendiente G2
H-013;L3;En Australia/Canadá el transporte de trabajadores es un módulo de workforce logistics integrado con roster, alojamiento, acceso y cumplimiento; el manifiesto de pasajeros es la evidencia del viaje;declarada;Quartex, PeopleTray (material de proveedor);2026;Australia/Canadá;media;CAP-manifiesto;abierto
H-014;L3;Los proveedores maduros venden registros listos para auditoría y bancos de evidencia — la evidencia es el producto, no la reserva;declarada;Quartex, Humanz;2026;Australia;media;CAP-evidencia (diferenciador);abierto
H-015;L3;Quartex declara presencia en Chile para el segmento enterprise minero; el segmento medio (no minero / contratista mediano) queda sin oferta identificada;declarada;quartexsoftware.com;2026;Chile;media;HIP-06 mercado;hipótesis
H-016;L4;AllRide declara conciliación de facturas contra servicios ejecutados, estados de pago y asignación de costos por criterios acordados (funciones económicas, no solo KPI);declarada (fragmento de buscador);allrideapp.com/allride-vs-samsara, /software-empresas-transporte-personal, /transporte-personal-mineria;2026-09-08;Chile, México, Perú, Panamá;media;CAP-conciliacion (commodity parcial);V-10 parcial
H-017;L4;El cumplimiento contractual del proveedor que declara AllRide es verificación de ejecución operativa (puntualidad, recorrido, paradas, horarios) con datos auditables;declarada (fragmento de buscador);allrideapp.com/transporte-personal-mineria, /rutas-transporte-personal;2026-09-08;Chile;media;CAP-evidencia;V-10 parcial
H-018;L4;AllRide declara flujos de aprobación y estados de solicitud, pero no se determina si cubren extras sobre contrato fijo con causal;declarada/inferida;allrideapp.com/digitalizacion-de-flotas, portada;2026-09-08;Chile;baja-media;CAP-extras;V-10 parcial
H-019;L4;No hallado en fuentes accesibles: fijo separado de extras, causal, autorización del mandante distinta de evidencia, evidencia ligada al extra, cierre reproducible, KPI sin descuentos (ausencia de evidencia, no evidencia de ausencia);inferida;Búsqueda del investigador, proxy bloqueó el sitio primario;2026-09-08;Chile;baja;CAP-contractual (diferenciador candidato);V-10 abierto en estos seis puntos
H-020;L4;AllRide declara reportes exportables e integración SSO, HRMS y API, sin documentación de API localizada;declarada;allrideapp.com/software-empresas-transporte-personal, /gestion-estacionamientos-empresas;2026-09-08;Chile;media-baja;V-11;abierto
H-021;L5;Precio y licencia de AllRide no publicados, existen homónimos (AllRide Apps, allride Service Paraguay) que no deben usarse como fuente;declarada;Búsqueda del investigador;2026-09-08;Chile;media;V-12;abierto
